id,tokenNumber,word,vowel,F1,F2,gender,age,english_variety
1,38,form,FORCE,357.143,1122.966,Female,30-39,AusE
1,59,palm,PALM,440.12,1245.287,Female,30-39,AusE
1,4,nurse,NURSE,359.763,1388.306,Female,30-39,AusE
1,5,north,FORCE,346.008,1144.442,Female,30-39,AusE
1,43,comma,SCHWA,429.502,1354.691,Female,30-39,AusE
1,46,would,FOOT,343.388,1357.181,Female,30-39,AusE
1,48,lot,LOT,383.963,1190.974,Female,30-39,AusE
1,42,comma,LOT,424.71,1131.214,Female,30-39,AusE
1,45,strong,LOT,435.604,1174.166,Female,30-39,AusE
1,49,force,FORCE,362.348,1134.949,Female,30-39,AusE
1,50,trap,TRAP,436.811,1334.615,Female,30-39,AusE
1,31,woman,SCHWA,369.208,1454.291,Female,30-39,AusE
1,32,had,TRAP,409.129,1380.68,Female,30-39,AusE
1,36,suffered,SCHWA,336.011,1390.018,Female,30-39,AusE
1,35,suffered,STRUT,421.367,1290.107,Female,30-39,AusE
1,72,harrison,SCHWA,333.839,1329.947,Female,30-39,AusE
1,73,thought,THOUGHT,349.972,1178.213,Female,30-39,AusE
1,52,sarah,SCHWA,376.241,1390.64,Female,30-39,AusE
1,51,sarah,DRESS,362.245,1498.488,Female,30-39,AusE
1,61,relaxing,TRAP,434.087,1371.032,Female,30-39,AusE
1,62,bath,BATH,427.503,1237.039,Female,30-39,AusE
1,57,lower,SCHWA,372.38,1221.476,Female,30-39,AusE
1,58,back,TRAP,422.09,1346.443,Female,30-39,AusE
1,70,expensive,DRESS,377.103,1578.791,Female,30-39,AusE
1,71,harrison,TRAP,425.159,1423.633,Female,30-39,AusE
1,39,foot,FOOT,344.457,1216.963,Female,30-39,AusE
1,53,started,START,415.954,1297.11,Female,30-39,AusE
1,54,started,SCHWA,340.285,1435.305,Female,30-39,AusE
1,55,touch,STRUT,418.195,1311.427,Female,30-39,AusE
1,1,sarah,DRESS,368.76,1461.916,Female,30-39,AusE
1,2,sarah,SCHWA,366.899,1250.578,Female,30-39,AusE
1,3,vet,DRESS,365.106,1531.169,Female,30-39,AusE
1,15,put,FOOT,297.883,1199.844,Female,30-39,AusE
1,16,yellow,DRESS,369.519,1413.673,Female,30-39,AusE
1,18,dress,DRESS,374.621,1456.936,Female,30-39,AusE
1,20,jacket,TRAP,396.546,1440.907,Female,30-39,AusE
1,21,jacket,SCHWA,363.003,1557.47,Female,30-39,AusE
1,22,picked,KIT,322.153,1652.868,Female,30-39,AusE
1,23,kit,KIT,337.079,1623.922,Female,30-39,AusE
1,24,headed,DRESS,362.452,1562.45,Female,30-39,AusE
1,27,woman,FOOT,342.664,1107.559,Female,30-39,AusE
1,28,woman,SCHWA,351.317,1324.5,Female,30-39,AusE
1,30,woman,FOOT,347.077,1154.869,Female,30-39,AusE
1,64,cloth,CLOTH,407.715,1146.932,Female,30-39,AusE
1,65,sarah,DRESS,362.796,1503.001,Female,30-39,AusE
1,66,sarah,SCHWA,361.142,1219.92,Female,30-39,AusE
1,67,warned,FORCE,368.243,1119.698,Female,30-39,AusE
1,69,treatment,SCHWA,329.357,1410.871,Female,30-39,AusE
1,11,after,SCHWA,360.487,1514.673,Female,30-39,AusE
1,13,washing,LOT,367.485,1197.821,Female,30-39,AusE
1,10,after,BATH,426.848,1281.859,Female,30-39,AusE
2,10,after,BATH,350.558,1332.437,Female,30-39,AmE
2,20,jacket,TRAP,391.995,1393.442,Female,30-39,AmE
2,44,strong,LOT,432.674,1122.499,Female,30-39,AmE
2,11,after,SCHWA,352.282,1530.547,Female,30-39,AmE
2,47,lot,LOT,364.589,1144.909,Female,30-39,AmE
2,48,force,FORCE,346.87,1189.418,Female,30-39,AmE
2,49,trap,TRAP,415.368,1343.019,Female,30-39,AmE
2,50,sarah,DRESS,371.794,1424.722,Female,30-39,AmE
2,51,sarah,SCHWA,357.832,1414.918,Female,30-39,AmE
2,52,started,START,385.308,1297.732,Female,30-39,AmE
2,53,touch,STRUT,391.34,1369.32,Female,30-39,AmE
2,55,lower,SCHWA,342.009,1250.267,Female,30-39,AmE
2,45,would,FOOT,348.145,1507.67,Female,30-39,AmE
2,26,woman,FOOT,347.077,1010.449,Female,30-39,AmE
2,27,woman,SCHWA,374.035,1356.247,Female,30-39,AmE
2,29,woman,FOOT,348.8,1094.642,Female,30-39,AmE
2,64,sarah,SCHWA,361.142,1179.146,Female,30-39,AmE
2,31,had,TRAP,384.239,1360.449,Female,30-39,AmE
2,21,picked,KIT,354.454,1591.241,Female,30-39,AmE
2,18,dress,DRESS,389.031,1388.617,Female,30-39,AmE
2,30,woman,SCHWA,387.031,1451.334,Female,30-39,AmE
2,13,washing,LOT,389.686,1160.783,Female,30-39,AmE
2,15,put,FOOT,351.007,1306.759,Female,30-39,AmE
2,16,yellow,DRESS,369.484,1344.108,Female,30-39,AmE
2,41,comma,LOT,377.034,1145.531,Female,30-39,AmE
2,42,comma,SCHWA,391.168,1274.7,Female,30-39,AmE
2,56,back,TRAP,442.292,1354.691,Female,30-39,AmE
2,57,palm,PALM,362.796,1103.357,Female,30-39,AmE
2,59,relaxing,TRAP,454.151,1353.757,Female,30-39,AmE
2,60,bath,BATH,445.05,1391.107,Female,30-39,AmE
2,35,suffered,SCHWA,345.215,1364.962,Female,30-39,AmE
2,62,cloth,CLOTH,368.554,1151.134,Female,30-39,AmE
2,63,sarah,DRESS,352.937,1408.226,Female,30-39,AmE
2,34,suffered,STRUT,345.25,1314.384,Female,30-39,AmE
2,38,foot,FOOT,361.762,1266.452,Female,30-39,AmE
2,37,form,FORCE,376.862,1157.981,Female,30-39,AmE
2,68,expensive,DRESS,387.514,1361.072,Female,30-39,AmE
2,69,harrison,TRAP,342.974,1464.873,Female,30-39,AmE
2,71,thought,THOUGHT,402.854,1190.351,Female,30-39,AmE
2,65,warned,FORCE,379.516,1140.396,Female,30-39,AmE
2,22,kit,KIT,348.766,1590.462,Female,30-39,AmE
2,23,headed,DRESS,348.628,1543.308,Female,30-39,AmE
2,1,sarah,DRESS,372.173,1451.334,Female,30-39,AmE
2,2,sarah,SCHWA,380.309,1252.29,Female,30-39,AmE
2,3,vet,DRESS,385.894,1412.116,Female,30-39,AmE
2,4,nurse,NURSE,328.702,1449,Female,30-39,AmE
2,5,north,FORCE,386.135,1158.137,Female,30-39,AmE
2,67,treatment,SCHWA,330.185,1461.294,Female,30-39,AmE
2,70,harrison,SCHWA,341.595,1426.123,Female,30-39,AmE
3,39,foot,FOOT,344.87,1204.513,Male,50-59,AusE
3,46,would,FOOT,336.838,1302.712,Male,50-59,AusE
3,61,bath,BATH,384.859,1253.846,Male,50-59,AusE
3,5,north,FORCE,335.528,1054.647,Male,50-59,AusE
3,49,force,FORCE,357.557,1082.192,Male,50-59,AusE
3,43,comma,SCHWA,328.047,1264.896,Male,50-59,AusE
3,50,trap,TRAP,388.376,1349.867,Male,50-59,AusE
3,48,lot,LOT,377.482,1167.319,Male,50-59,AusE
3,64,sarah,DRESS,377.792,1460.049,Male,50-59,AusE
3,58,palm,PALM,451.255,1298.666,Male,50-59,AusE
3,60,relaxing,TRAP,415.541,1445.42,Male,50-59,AusE
3,51,sarah,DRESS,369.795,1482.459,Male,50-59,AusE
3,52,sarah,SCHWA,368.829,1414.295,Male,50-59,AusE
3,32,had,TRAP,375,1414.295,Male,50-59,AusE
3,45,strong,LOT,354.454,1187.55,Male,50-59,AusE
