Country,Land.Use.Type,Amount
Cambodia,"Land, agriculture (% of land area) ",32.60254
Laos,"Land, agriculture (% of land area) ",10.69757
Myanmar,"Land, agriculture (% of land area) ",19.27628
Thailand,"Land, agriculture (% of land area) ",42.78808
Vietnam,"Land, agriculture (% of land area) ",34.9663
Cambodia,"Land, cropped, arable (%) ",23.22683
Laos,"Land, cropped, arable (%) ",6.2825
Myanmar,"Land, cropped, arable (%) ",16.56232
Thailand,"Land, cropped, arable (%) ",32.41402
Vietnam,"Land, cropped, arable (%) ",20.6405
